gvkey,companyname
038544,CIBC CANADIAN BOND INDEX ETF
038545,PAYSAFE LTD
038546,CIBC INTL EQUITY INDEX ETF
038547,CIBC CANADIAN EQY INDEX ETF
038548,CIBC US EQTY INDEX ETF
038549,GUARDIAN CANADIAN BOND FUND
038550,GUARDIAN CAN SEC CNR EQ FUND
038551,BON NTRL LIFE LTD
038558,TREACE MEDIC CNCPTS INC
038560,MDA SPACE LTD
038562,INNOVATOR US EQY ACLR ETF
038563,PACER SWAN SOS MOD ETF
038564,INNOVATOR GRW ACCL ETF
038565,INNOVATOR GRW ACCL PLS ETF
038566,PACER SWAB SOS FLEX ETF
038567,PACER SWAN SOS CONSERV ETF
038568,INNOVATOR US EQY INN PLS ETF
038569,INNOVATOR US EQ ACL 9 BF ETF
038570,INNOVATOR US EQY ACL QTR ETF
038571,INNOVATOR INTL DV PWR BF ETF
038572,INNOVATOR EM MKTS PW BFR ETF
038573,TRAJAN WLTH INC OPPS ETF
038574,TRUESHARES STRC OUTC ETF
038576,LATHAM GROUP INC
038578,CHANSON INTERNATIONL HOLDING
038583,TC BANCSHARES INC
038585,VECTIVBIO HOLDING AG
038590,INNOVIZ TECHNOLOGIES LTD
038592,FLYEXCLUSIVE INC
038594,PRIVIA HEALTH GROUP INC
038595,LITHIUM IONIC CORP
038596,TUSIMPLE HOLDINGS INC
038598,AST SPACEMOBILE INC
038601,VANGUARD ULTRA-SHRT BOND ETF
038602,SPDR BLOOMBERG EMER MKTS ETF
038606,BLACKROCK US CRBN TRNS ETF
038607,BLACKROCK WLD EX US CBN ETF
038612,SPECTAIRE HOLDINGS INC
038614,ONION GLOBAL LTD - ADR
038616,QDM INTERNATIONAL INC
038617,ARTIVA BIOTHERAPEUTICS INC
038618,FINANCE OF AMERICA COMPANIES
038621,WESTROCK COFFEE CO
038624,TWIN VEE POWERCATS CO
038625,WEREWOLF THERAPTCS INC
038630,GLOBAL X CLEAN WATER ETF
038631,HORIZONS GLOBAL BBIG TECHNOL
038632,I-80 GOLD CORP
038634,FIVE STAR BANCORP
038635,HONEST CO INC (THE)
038638,VANECK DIGITAL TRANSFOR ETF
038640,TD GLOBAL HELTH LDRS IDX ETF
038643,BARINTHUS BIOTHERAPEUTICS
038645,GLOBAL-E ONLINE LTD
038646,UIPATH INC
038647,TASKUS INC
038648,PROSOMNUS INC
038649,NKGEN BIOTECH INC
038652,BETAPRO BITCOIN ETF
038653,BETAPRO INVERSE BITCOIN ETF
038654,PGIM ACTIVE AGGREGATE BD ETF
038658,UNCOMMON PORTF DGN CR EQ ETF
038661,UPEXI INC
038662,SIMILARWEB LTD
038663,CI GALAXY ETHEREUM ETF
038664,TNF PHARMACEUTICALS INC
038665,FT VST US EQUY BUF APR ETF
038666,FT VST US EQ DP BUF ETF APR
038667,3IQ BITCOIN ETF
038670,EVOLVE ETHER ETF
038671,PURPOSE ETHER ETF
038673,FTC SOLAR INC
038674,IPI LEGACY LIQUIDATION CO
038676,OATLY GROUP AB
038681,GENIUS SPORTS LTD
038682,ADVISORSHS RESTAURANT ETF
038683,ADVISORSHS HOTEL ETF
038687,ATAI LIFE SCIENCES N V
038688,AVEANNA HCARE HOLD INC
038691,INVESCO MSCI GRN BUILD ETF
038692,ACRUENCE ACTV HDG US EQY ETF
038697,RAIN ONCOLOGY INC
038698,TAIGA MOTORS CORP
038699,3IQ ETHER STAKING ETF
038703,PURPOSE ENERGY TRANSITI FUND
038704,THINKIFIC LABS INC
038705,REGENCELL BIOSCIENCE HOL LTD
038706,ANEBULO PHARMA INC
038707,PAYCOR HCM INC
038708,ZETA GLOBAL HOLDINGS CORP
038710,MAGNET FORENSICS INC
038711,PALISADE BIO INC
038717,23ANDME HOLDING CO
038718,CITIZENS BANCORP INVESTM INC
038720,NETCAPITAL INC
038721,SCHWAB INTERNAT DIV EQTY ETF
038722,STEM INC
038723,ZENVIA INC
038725,BITWISE CRYPTO INDS INNV ETF
038726,FORMIDABLE ETF
038727,APPLIED FIN VAL LRGE CAP ETF
038735,WATERDROP INC
038736,SQUARESPACE INC
038737,TRUESHARS STRU OUT (MAY) ETF
038738,TOURMALINE BIO INC
038739,FLYWIRE CORP
038744,ZIPRECRUITER INC
038745,TSCAN THERAPEUTICS INC
038747,PAYMENTUS HOLDINGS INC
038748,MERIDIANLINK INC
038750,LAKESHORE BIOPHARMA CO LTD
038751,ALGER 35 ETF
038753,ENACT HOLDINGS INC
038754,BOWMAN CONSLTG GRP LTD
038755,TEXAS COMMUNITY BANCSHAR INC
038756,FREEDOM DAY DIVIDEND ETF
038757,VIMEO INC
038760,ETFMG PME 2X DLY JR MINE ETF
038762,MOBILE INFRASTRUCTURE CORP
038763,DAY ONE BIOPHARMACEUTCLS INC
038764,BLUE FOUNDRY BANCORP
038767,WISDOMTREE ALTRNT INCM ETF
038768,BEAUTY HEALTH CO (THE)
038769,EVOLVE FANGMA INDEX ETF
038770,FIGS INC
038771,DLOCAL LTD
038773,LION ELECTRIC CO (THE)
038777,BITDEER TECHNOLOGIES GROUP
038779,BLADE AIR MOBILITY INC
038780,GOLDEN SUN HEALTH TECH G LTD
038782,VERA THERAPEUTICS INC
038783,SENTI BIOSCIENCES INC
038784,ADAPTIVE ALPHA OPPORTNTS ETF
038785,TANTALUS SYS HOLD INC
038786,EVOLVE S&P/TSX 60 CLNBTA ETF
038787,EVOLVE S&P 500 CLNBETA ETF
038790,SAGIMET BIOSCIENCES INC
038791,ALZAMEND NEURO INC
038793,SOFI WEEKLY DIVIDEND ETF
038794,SIMPLIFY INRT RATE HDGE ETF
038795,ETC 6 MERIDIAN QUAL GRTH ETF
038800,GREENFIRE RESOURCES LTD
038804,ZYVERSA THERAPEUTICS INC
038805,CENTESSA PHARMACEUTICALS PLC
038806,SINGULAR GENOM SYS INC
038807,AMPLIFY US ALTRNV HARVST ETF
038809,FIRST TRUST NW YK MP HGH ETF
038811,SIMPLIFY VOLATILITY PRM ETF
038812,POP CULTURE GROUP CO LTD
038813,SONICSHARES AIRLNS HTLS ETF
038821,ORGANON & CO
038822,MONDAY COM LTD
038824,1STDIBS.COM INC
038827,GLIMPSE GROUP INC(THE)
038829,FEMASYS INC
038831,PROSHARES NASDAQ WRI MOM ETF
038832,MARQETA INC
038834,LIFESTAN HLTH GRP INC
038835,WALKME LTD
038842,PRINCIPAL U.S. SM ADAPTI ETF
038843,PRINCIPAL U.S. LARG ADAP ETF
038844,ZHANGMEN EDC INC -ADR
038845,BLUE OWL CAPITAL INC
038846,AXS DE-SPAC ETF
038847,AXS SHORT DE-SPAC DAILY ETF
038848,NEWEGG COMMERCE INC
038849,AMTD DIGITAL INC -ADR
038850,ISHARES TRUS -BBB RA COR ETF
038851,WISDOMTREE TRUST - CORE FUND
038852,WISDOMTR TRST- EFFI CORE FUN
038853,DENTALCORP HOLDINGS LTD
038856,NEUEHEALTH INC
038857,JANUX THERAPEUTICS INC
038861,EAST SIDE GAMES GROUP INC
038862,KANZHUN LIMITED
038867,UNICYCIVE THERAPEUTICS INC
038868,CONVEY HEALTH SOL HLDNGS INC
038870,CORE & MAIN INC
038872,FAT TAIL RISK ETF
038873,AXS FOMO ETF
038874,NRX PHARMACEUTICALS INC
038876,NEIGHBOURLY PHARMACY INC
038877,FIRST TRUST INNOV LEAD ETF
038883,LYELL IMMUNOPHARMA INC
038884,FIRST TST TCW ESG PRMR ETF
038885,EUDA HEALTH HOLDINGS LTD
038886,PUTNAM SUSTAINABLE FUTRE ETF
038888,PUTNAM FCSD LGE CAP VAL ETF
038889,PUTNAM SUSTAINABLE LDRS ETF
038890,PUTNAM FCSD LG CAP GRW ETF
038892,PICTON MAHONEY FORTIFIED ETF
038894,PRINCIPAL INTL ADP MUFAC ETF
038895,INVESCO NASD 100 EQUAL ETF
038896,INVESCO NASD NXT GEN 100 ETF
038900,HCW BIOLOGICS INC
038905,DEFIANCE NXT GEN ALT EXP ETF
038906,GREEN IMPACT PARTNERS INC
038908,VERVE THERAPEUTICS INC
038909,FULL TRUCK ALLIANCE CO LTD
038910,ACURX PHARMA INC
038915,SPRINKLR INC
038916,SOFI TECHNOLOGIES INC
038917,MIROMATRIX MEDICAL INC
038920,CENTURY THERAPEUTI INC
038923,TELESIS BIO INC
038924,EVERCOMMERCE INC
038925,CYTEIR THERAPEUTICS INC
038927,DOXIMITY INC
038928,D MARKET ELEKTRONIK HIZMETLE
038929,ATRENEW INC  -ADR
038930,COLLECTIVE MINING LTD
038931,CONFLUENT INC
038932,EZFILL HOLDINGS INC
038935,SHF HOLDINGS INC
038936,MISTER CAR WASH INC
038937,BARK INC
038938,GLOBAL X S&P GRN BND IDX ETF
038940,WISDOMTREE BIOREV FUND ETF
038945,AKILI INC
038946,POWERSCHOOL HOLDINGS INC
038949,CANO HEALTH INC
038950,DEFIANCE HTL AIR CRZ ETF
038952,VINTAGE WINE ESTATES INC
038953,LATCH INC
038954,CLEAR SECURE INC
038957,GH RESEARCH PLC
038960,QUANTUM SI INC
038961,JANUS INTERNATIONL GROUP INC
038965,KRANESHS HNG SNG TECH IX ETF
038966,T ROWE PRC US EQY RSRCH ETF
038967,CAREMAX INC
038968,ATOUR LIFESTYLE HLD LTD -ADS
038969,DINGDONG (CAYMAN) LIMITED
038971,MISSFRESH LTD -ADR
038972,SENTAGE HOLDINGS INC
038974,VAST RENEWABLES LTD
038978,KATAPULT HOLDINGS INC
038979,NAUTILUS BIOTECHNOLOGY INC
038980,BMO US ALL CAP EQY ETF
038981,UPHEALTH INC
038982,DIREXION DLY 5G COMM 2X ETF
038983,DIREXION DLY TRVL VAC 2X ETF
038984,ISHARES FUTURE CLD 5G N TECH
038985,EMLES ALPH OPPS ETF
038986,ACUMEN PHARMACEUTICALS INC
038987,AEROVATE THERAPEUTICS INC
038993,DERMATA THERAPEUTICS INC
038994,INVESCO NSDQ BIOTCH ETF
038995,INDIE SEMICONDUCTOR INC
038996,INVESCO PHLX SEMICNDCTR ETF
038998,DIDI GLOBAL INC
039003,DIMENSIONAL US EQ MARKET ETF
039004,DIMENSIONAL US SML CAP ETF
039005,DIMENSIONAL US CRE EQY 2 ETF
039006,DIMENSIONAL US TARGT VAL ETF
039009,PROTERRA INC
039012,VERTICALSCOPE HOLDINGS INC
039013,PACER IPATH GOLD TNDPLT ETN
039014,FIRST TRST EXPND TECH ETF
039015,STRATIFIED LARGECAP HDGD ETF
039016,DYNAMIC ACTV EMRGNG MKT ETF
039017,DYNAMIC ACTIVE ENGY EVLT ETF
039018,AMBRX BIOPHARMA INC
039020,ETFMG PME 2X DLY JR SLV ETF
039021,ETFMG 2X DLY TRVL TCH ETF
039025,WM TECHNOLOGY INC
039028,ZURA BIO LIMITED
039029,LYTUS TECH HLD PTV LTD
039031,STACK CAPITAL GROUP INC
039032,ASIAN GROWTH CUBS ETF
039034,FIDELITY WOMENS LDERSHIP ETF
039035,FIDELITY SUSTAINBL US EQ ETF
039037,FIDELITY PRFD SEC & INCM ETF
039038,ANAERGIA INC
039039,ANGEL OAK MORTGAGE REIT INC
039041,DT MIDSTREAM INC
039046,FT VST INT EQ MRT BR ETF-JUN
039047,FT VEST NASD-100 BF ETF-JUN
039048,FIRST ADVANTAGE CORP
039049,WESTBRIDGE RENWBLE ENRG CORP
039051,ALPHA TEKNOVA INC
039053,LIVEVOX HOLDING INC
039054,PLAYSTUDIOS INC
039055,GLOBAL X SEMICONDUCT IDX ETF
039056,BLEND LABS INC
039057,MONTE ROSA THERAPEUTICS INC
039059,COUCHBASE INC
039060,ELEVATION ONCOL INC
039061,F45 TRAINING HLDNGS INC
039063,LENZ THERAPEUTICS INC
039065,XOMETRY INC
039067,RYAN SPECIALTY HOLDINGS INC
039068,SOHO HOUSE & CO INC
039069,INTEGRAL AD SCIENCE HOL CORP
039070,INTAPP INC
039077,STEVANATO GROUP S P A
039078,TALKSPACE INC
039079,FIRST TRST INX MED DEV ETF
039080,ROBINSON ALTER YLD PRMG ETF
039082,ISHARES US CONSMR FOCUSD ETF
039084,JANUS HENDERSN US RL EST ETF
039085,TCW TRANSFORM 500 ETF
039086,GLOBAL X LITHUM PROD IDX ETF
039087,HORIZONS GLOB HYDRO IDX ETF
039088,BRIDGE INV GRP HLD INC
039089,PASITHEA THERAPEUTICS CORP
039092,PET VALU HOLDINGS LTD
039094,WISDOMTREE U.S. GRW MOM ETF
039095,AMPLIFY CLEANER LIV ETF
039096,ISHARES IBNDS DC 31 CORP ETF
039097,ORIGIN MATERIALS INC
039098,PERELLA WEINBERG PARTNERS
039102,SOMALOGIC INC
039103,PAYONEER GLBL INC
039104,TEMPEST THERAPEUTICS INC
039107,GAMBLING.COM GROUP LIMITED
039108,META MATERIALS INC
039111,VTEX
039112,BEACHBODY CO INC (THE)
039114,IRONSOURCE LTD
039115,FRANKLIN CLRBRD SU GB INF IN
039116,FRANKLIN CLRBRD SUST INTL GT
039117,FRANKLIN BRANDYW GB ST IN OP
039118,SPARKLINE INTANG VALUE ETF
039119,LEADERSHARES DYNAM YLD ETF
039120,NYLI MACKAY ESG CRE PLUS ETF
039122,DUOLINGO INC
039124,TABOOLA.COM LTD
039127,CVRX INC
039128,BROOKFIELD WEALTH SOLUTIONS
039129,ROUNDHILL BALL METAVRS ETF
039130,INVESCO S&P 500 QVM MULTI-FA
039131,INVESCO S&P SMLCP 600 ETF
039132,INVESCO S&P MDCP 400 MLF ETF
039134,TRUESHARES STCT OTCM(JNE)ETF
039135,PROCURE TRI LGBTQ ESG100 ETF
039136,ASTRA SPACE INC
039142,POINT BIOPHARMA GLOBAL INC
039143,AMERICAN CENT EMERG MKTS ETF
039144,AMERICAN CENT MLTSC INC ETF
039145,AMERICAN CNTY SSTNBL GRW ETF
039146,ALEXIS PRACT TACT ETF
039147,INNOVATOR US EQY ACCL 9 ETF
039148,INNOVATOR US EQ ACCL PLS ETF
039149,IINOVATOR GRW ACCL PLS ETF
039150,PACER SWAN SOS FLEX(JUL) ETF
039151,PACER SWAN SOS CON (JUL) ETF
039152,PACER SWAN SOS MOD (JUL) ETF
039153,IINOVATOR DEFN WLTH SHLD ETF
039154,INNOVATOR US EY ACCL ETF-JUL
039155,ADVISORSHARES GRBR KWSK ETF
039156,TORRID HOLDINGS INC
039157,AVEPOINT INC
039158,SHARECARE INC
039159,EVGO INC
039160,ENSYSCE BIOSCIENCES INC
039163,ZEGA BUY & HEDGE ETF
039164,ETFMG 2X DLY ALTR HRV ETF
039165,JPMORGAN ACTIVEB INTL EQ ETF
039166,JPMORGAN ACTIVE US LG CP ETF
039169,AERWINS TECHNOLOGIES INC
039170,SERA PROGNOSTICS INC
039171,SIGHT SCIENCES INC
039173,SMARTKEM INC
039174,LAVORO LTD
039175,ABSCI CORP
039179,ISHARES IBONDS 2027 TERM ETF
039181,OMEGA THERAPEUTICS INC
039182,N-ABLE INC
039184,RXSIGHT INC
039185,TIGO ENERGY INC
039189,IMMUNEERING CORP
039190,RANI THERAPET HOLD INC
039191,ISHARES 0-5 YEAR TP BOND ETF
039192,ISHARES 1-5 YR US IG CRP ETF
039193,ISHARES US IG CRP BD IDX ETF
039194,ISHARES 1-5 YR US IG COR ETF
039195,SUNLIGHT FINANCIAL HOLDINGS
039196,ISHARES 0-5 YR TIPS BOND ETF
039197,ZEVIA PBC
039198,ERASCA INC
039199,CS DISCO INC
039201,WEBER INC
039202,RAPID MICRO BIOSYSTEMS INC
039203,IMAGO BIOSCIENCES INC
039204,TENAYA THERAPEUTICS INC
039207,VINFAST AUTO LTD
039210,METALS ACQUISITION LIMITED
039215,CADRE HOLDINGS INC
039216,GLASS HOUSE BRANDS INC
039217,CABANA TARGET LE SEC AGG ETF
039218,CABANA TARGET LE SEC MOD ETF
039219,CABANA TARGET LE SEC CON ETF
039220,PACER METAURUS US LG CAP ETF
039221,PACER METAURUS US LR CAP ETF
039222,CI GLOBAL CLIMATE LEADR FUND
039223,CI ALTERNATIVE NA  OPPR FUND
039224,FT VEST US EQTY ENH ETF JUNE
039225,LEGALZOOM.COM INC
039231,WHEELS UP EXPERIENCE INC
039232,JACOB FORWARD ETF
039233,DEFIANCE NEXT BIG DATA ETF
039234,GLOBAL X BLOCKCHAIN ETF
039235,FIS KNIGHTS CLM GLBL BLF ETF
039236,GLOBAL X HYDROGEN ETF
039237,GLOBAL X AGTECH&FOOD INN ETF
039239,FLOW BEVERAGE CORP
039240,NAUTICUS ROBOTICS INC
039241,PB BANKSHARES INC
039243,ISHARES IBONDS DEC31 TRS ETF
039244,GOLDMAN SAC FTRE PLN EQY ETF
039246,CYTEK BIOSCIENCES INC
039247,TCW TRANSFORM SUPPLY CHAIN
039248,OUTBRAIN INC
039250,MARKFORGED HOLDING CORP
039251,ENOVIX CORP
039255,OWLET INC
039257,ATAC CREDIT ROTATION ETF
039258,ALPS HILLMAN ACTIVE VALUE ET
039261,SOUTHERN STATES BANCSHAR INC
039263,FINWISE BANCORP
039265,HOLLEY INC
039266,INVIVYD INC
039269,CANDEL THERAPTCS INC
039271,CLIMB BIO INC
039273,HYZON MOTORS INC
039276,XPONENTIAL FITNESS INC
039277,CELULARITY INC
039278,THORNE HEALTHTECH INC
039280,EVOLV TECHNOLOGIES HOLDINGS
039286,SNAP ONE HOLDINGS CORP
039290,COGNITION THERAPEUTICS INC
039291,CARIBOU BIOSCIENCE INC
039293,ROBINHOOD MARKETS INC
039294,SOPHIA GENETICS SA
039295,RISKIFIED LTD
039297,VECTORSHARES MIN VOL ETF
039298,VIRIDI BITCOIN MINERS ETF
039299,AMPLIFY THMTC ALLSTARS ETF
039300,SOFI SMART ENERGY ETF
039301,STRYVE FOODS INC
039302,ICLIMA GLB DECARB TRNS ETF
039303,HAMILTON ENHANCED CVRD ETF
039306,OPPFI INC
039307,ISOPLEXIS CORP
039309,STAGWELL INC
039310,VICTORIAS SECRET AND CO
039311,MARKETWISE INC
039312,INSTRUCTURE HOLDINGS INC
039313,DIREXION LOW PRICED STCK ETF
039314,FORMIDABLE FORTRESS ETF
039315,GAVEKAL ASIA PCF GOV ETF
039316,BERKSHIRE GREY INC
039317,TRAEGER INC
039318,FARADAY FUTURE INTELLIGENT
039319,GXO LOGISTIC INC
039321,GENEDX HOLDINGS CORP
039322,USCB FINANCIAL HOLDINGS INC
039323,MATTERPORT INC
039324,APTUS INTL ENHANCED YLD ETF
039325,REE AUTOMOTIVE LTD
039327,DRIVEWEALTH POWER SAVE ETF
039328,KARBON X CORP
039330,VIP PLAY INC
039332,CHICAGO ATLANTIC BDC INC
039333,JIANZHI EDUC T G CO LTD -ADR
039337,LUCID GROUP INC
039338,MICROVAST HOLDINGS INC
039339,FRANKLIN MRTIN CRRIE SUS ETF
039340,FRANKLIN MART CUR EMG ETF
039341,CCM AFFORDABLE HUSNG MBS ETF
039342,BIOFRONTERA INC
039344,NUVALENT INC
039345,RUBICON TECHNOLOGS INC
039351,SHARPLINK GAMING INC
039352,STATERA BIOPHARMA INC
039354,STRONGHOLD DIGITAL MININ INC
039357,DOMA HOLDINGS INC
039358,ICOSAVAX INC
039359,RALLYBIO CORP
039360,DIREXION DAILY GLB EGY ETF
039361,TIMOTHY PLAN HIGH DIV EN ETF
039362,TIMOTHY  PLAN US LG MID ETF
039363,RESERVOIR MEDIA INC
039365,EUROPEAN WAX CENTER INC
039371,CYXTERA TECHNOLOGIES INC
039376,CATALYST BANCORP INC
039377,ROVER GROUP INC
039378,CCC INTELLIGENT SOLUTIONS HL
039379,SONICSHARES GLOBAL SHIP ETF
039380,HIPPO HOLDINGS INC
039381,LANZATECH GLOBAL INC
039382,SPEAR ALPHA ETF
039383,VIRTUS DUFF PHELPS CLEN ETF
039386,ARDAGH METAL PACKAGING S A
039387,BLACKROCK FUTURE CLM ECO ETF
039388,NUVEEN DIVIDEND GROWTH ETF
039389,NUVEEN WINSLOW LARGE CAP ETF
039390,NUVEEN SMALL CAP SELECT ETF
039391,HASHICORP INC
039394,M2I GLOBAL INC
039399,OMNIAB INC
039402,TANGO THERAPEUTICS INC
039403,BNY MELLON ULTR SHRT INC ETF
039404,HARTFORD SCHRODERS ESG ETF
039405,JOBY AVIATION INC
039406,LI-CYCLE HOLDINGS CORP
039411,RENOVORX INC
039412,JET.AI INC
039413,ISHARES US AGGRE BND INX ETF
039414,ISHARES US AGGRE INDEX ETF
039415,ISHARES ESG ADV 1-5 CAN ETF
039416,ISHARES ESG CORP BOND IX ETF
039417,SURROZEN INC
039418,ROCKLEY PHOTONICS HLDING LTD
039424,TIDEWATER RENEWABLES LTD
039426,DATCHAT INC
039427,MOMENTUS INC
039434,GUARDFORCE AI CO LTD
039435,MICROMOBILITY.COM INC
039436,URGENT.LY INC
039440,CI GLOBAL ALPHA INNOVATION E
039441,CI ALTERNATIVE DIVE OPP FUND
039442,SPIRE GLOBAL INC
039448,AEYE INC
039449,FT VEST U S EQ M B ETF JAN
039453,PROCEPT BIOROBTCS CORP
039457,SPORTRADAR GROUP AG
039459,JOHN HANCOCK MOR-BKD SEC ETF
039461,GOLD MOUNTAIN MINING CORP
039464,NEWLAKE CAPITAL PARTNERS INC
039472,XOS INC
039475,BELPOINTE PREP LLC
039476,DEFINITIVE HEALTH CORP
039477,TYRA BIOSCIENCES INC
039481,ON HOLDING AG
039482,THOUGHTWORKS HOLDG INC
039483,DUTCH BROS INC
039487,FORGEROCK INC
039488,CARAVELLE INTERNATIONAL GRP
039489,ICZOOM GROUP INC
039490,AGILETHOUGHT INC
039492,REVERSE SECTOR OPPS ETF
039493,ZACKS EARN CONS PORT ETF
039499,NORTHERN LTS FD TR II
039500,A.K.A. BRAND HOLD CORP
039501,CALIDI BIOTHERAPEUTICS INC
039502,WARBY PARKER INC
039503,ROCKET LAB USA INC
039504,IA CLARINGTON LOOM GLB ETF
039505,SMARTRENT INC
039507,PINSTRIPES HOLDINGS INC
039508,DICE THERAPEUTICS INC
039509,AUNA S A
039510,EFFECTOR THERAPEUTICS INC
039514,BAHL & GAYN SML MID CP GRWTH
039515,GLOBAL X NASDAQ 100 TAIL RIS
039516,GLOBAL X NASDAQ 100 RISK MAN
039517,GLOBAL X NASDAQ 100 COLLAR 9
039518,GLOBAL X S&P 500 TAIL RISK E
039519,GLOBAL X RISK MANAGD INC ETF
039520,GLOBAL X S&P 500 CLR ETF
039524,TOAST INC
039525,HUMACYTE INC
039526,ENGAGESMART LLC
039527,AADI BIOSCIENCE INC
039528,SATIXFY COMMUNICATIONS LTD
039530,GDEV INC
039533,VOLTA INC
039534,CAZOO GROUP LTD
039535,IRONNET INC
039537,WONDERFI TECHNOLOGIES INC
039538,CIPHER MINING INC
039539,FRESHWORKS INC
039540,STERLING CHECK CORP
039541,YOSHITSU CO LTD -ADR
039542,SOVOS BRANDS INC
039544,OLAPLEX HOLDINGS INC
039546,ALLBIRDS INC
039547,REMITLY GLOBAL INC
039548,OSTIN TECHNOLOGY GROU CO LTD
039549,ACCELERATE CARB NGVE BTC ETF
039550,CELLEBRITE DI LTD
039551,CI EMERGING MRKTS ALPHA ETF
039552,HEALTHCARE TRIANGL INC
039553,GENIUS GROUP LTD
039554,CLEARWATER ANA HOL INC
039555,AMPLITUDE INC
039556,BRILLIANT EARTH GP INC
039557,SOCIETY PASS INC
039559,MEIHUA INTERNATIO M T CO LTD
039561,JACKSON FINANCIAL INC
039562,VERTIQAL STUDIOS CORP
039563,CUE HEALTH INC
039564,GREENIDGE GENERATIN HOLD INC
039566,FREIGHTOS LTD
039568,BETAPRO EQL WHT CAN REIT ETF
039569,BETAPRO EQL WHT BLL REIT ETF
039570,OFFERPAD SOLUTIONS INC
039571,BLUEGREEN VACATIONS HOL CORP
039575,CYNGN INC
039577,RENOVACOR INC
039578,REDWIRE CORP
039589,ARQIT QUANTUM INC
039592,HEARTBEAM INC
039595,FIRST WATCH RESTAURA GRO INC
039596,TDCX INC -ADS
039598,MARPAI INC
039601,GLOBAL X WIND ENERGY ETF
039602,GLOBAL X SOLAR ETF
039603,ALPS GLOBAL TRAVEL BENEF ETF
039604,JANUS HENDERSON SUS & IM ETF
039605,JANUS HENDERSON IN SU EQ ETF
039606,JANUS HENDERSON NET ZERO ETF
039607,JANUS HENDERSON US SU EQ ETF
039608,JANUS HENDERSON CORP BND ETF
039609,LIFEGOAL GENERAL CON INV ETF
039610,LIFEGOAL WEALTH BUILDER ETF
039611,LIFEGOAL VACATION INVEST ETF
039612,LIFEGOAL HOMEOWNER INVES ETF
039613,LIFEGOAL CHILDREN INVEST ETF
039614,PIMCO MUNICPL ICM OPP AC ETF
039618,TIVIC HEALTH SYSTEMS INC
039620,CINGULATE INC
039621,BLACKSKY TECHNOLOGY INC
039622,CFSB BANCORP INC
039624,TMC THE METALS CO INC
039625,VANECK HIP SUSTAIN MUNI ETF
039626,TOP FINANCIAL GROUP LTD
039627,FGI INDUSTRIES LTD
039628,DIMENSIONAL INTERN VALUE ETF
039629,DIMENSIONAL WORLD EX US ETF
039632,VOLCON INC
039633,CONTEXT THERAPEUTICS INC
039636,EXSCIENTIA PLC
039637,ALPINE SUMMIT ENGY PTNRS INC
039641,NSTS BANCORP INC
039642,MINK THERAPEUTICS INC
039643,US VALUE ETF
039644,SIMPLIFY TAIL RISK STRTG ETF
039648,LIFE TIME GRP HOLD INC
039651,SYLVAMO CORP
039652,HARTFORD SCHRODERS CM ST ETF
039653,INVESCO BULLETSHARS 2031 ETF
039654,INVESCO BULLETSHRES 2031 ETF
039655,INVESCO BULLETSHARS 2029 ETF
039656,LILIUM N V
039663,MODIV INDUSTRIAL INC
039665,THESEUS PHARMACEUTICALS INC
039666,ADVISORSHARES PSYCHEDLCS ETF
039667,HARBOR SCIENTIFIC ALPHA ETF
039668,CIBC EMERGING MARKETS EQ ETF
039669,CIBC GLOBAL BOND EX-CAN ETF
039670,GOLDMAN SACHS FUTURE TCH ETF
039676,IHS HOLDING LIMITED
039677,IMMIX BIOPHARMA INC
039680,GINKGO BIOWORKS HOLDINGS INC
039683,PYXIS ONCOLOGY INC
039684,ENFUSION INC
039685,AVIDXCHANGE HOLDINGS INC
039687,GITLAB INC
039688,FT VT US EQ EN & MD B ETF JU
039689,ALTSHARES EVENT-DRIVEN ETF
039690,FT VEST NDQ-100 BFR ETF SEPT
039691,FT VEST INT EQ MOD BUFR SEPT
039693,APOLLOMICS INC
039694,COLUMBIA SHORT DURTN BND ETF
039695,FIRST TRUST SKYBRIDG CRP ETF
039697,CROSSINGBRIDGE PRME SPAC ETF
039698,HORIZONS ACT ESG CORP BD ETF
039699,DISCIPLINE FUND ETF
039700,ETFMG BREAKWAVE SEA DECA ETF
039701,FLEXSHARES INV GRD CORP FUND
039702,FLEXSHARES HI YILD CORP FUND
039703,NERDY INC
039704,FLEXSHARES US LARGE CAP FUND
039705,FLEXSHARES DEV MK EX-US FUND
039706,QUADRATIC DEFLATION ETF
039707,APEX HEALTHCARE ETF
039712,VICARIOUS SURGICAL INC
039713,AMPLIFY DIGI & ONLI TRAD ETF
039714,HOYA CAPITAL HIGH DIV YI ETF
039715,HARTFORD STRATEGIC INCOM ETF
039716,AVANTIS US LRG CAP VALUE ETF
039717,DIREXION DAILY US INF SHARES
039718,ABRDN BLOOMBERG INDUSTRL ETF
039724,ARBE ROBOTICS LTD
039726,ARIS WATER SOLUTIN INC
039728,LUCID DIAGNOSTICS INC
039733,JIN MEDICAL INTRNATIONAL LTD
039734,PARAGON 28 INC
039738,PALLADYNE AI CORP
039740,JASPER THERAPEUTICS INC
039741,CANNABIS GROWTH ETF
039745,HARBOR SCIENTIFIC ALP HG ETF
039746,AERIES TECHNOLOGY INC
039749,VITA COCO COMPANY INC
039750,P10 INC
039751,FLUENCE ENERGY INC
039752,MONEYLION INC
039753,MINERVA SURGICAL INC
039755,THARIMMUNE INC
039756,PORTILLO'S INC
